accuracy,best_params,classification_report
0.9794238683127572,10,
0.9794238683127572,scale,
0.9794238683127572,rbf,
0.9794238683127572,,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 21.0}"
0.9794238683127572,,"{'precision': 0.9523809523809523, 'recall': 1.0, 'f1-score': 0.975609756097561, 'support': 20.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 0.95, 'f1-score': 0.9743589743589743, 'support': 20.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 0.8, 'f1-score': 0.8888888888888888, 'support': 20.0}"
0.9794238683127572,,"{'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 20.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 22.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}"
0.9794238683127572,,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}"
0.9794238683127572,,0.9794238683127572
0.9794238683127572,,"{'precision': 0.9821428571428572, 'recall': 0.9791666666666666, 'f1-score': 0.9789957107030278, 'support': 243.0}"
0.9794238683127572,,"{'precision': 0.982363315696649, 'recall': 0.9794238683127572, 'f1-score': 0.9792550229165706, 'support': 243.0}"
